Rank	Gene	Centrality
1	Gapdh	0.16941268614658916
2	Top2a	0.16699143730464155
3	Prkaca	0.11083117458579092
4	Lrrk2	0.08773683790627872
5	Vegfa	0.056836782112969414
6	Mtor	0.04581253783936189
7	Pkm	0.040777311378609495
8	Actn2	0.03572307452612784
9	Cycs	0.03454435508044662
10	Ptpn11	0.03451522423431911
11	Aldh1a1	0.03444282248994954
12	Birc5	0.032697636735051196
13	Plk1	0.03054320892179906
14	Actg2	0.02939096808417738
15	Hadha	0.029276194967617835
16	Nos2	0.02718438329232252
17	Racgap1	0.02491694004998721
18	Sod2	0.022600936621778867
19	Cxcl10	0.022577675031983595
20	Txnrd1	0.022456366992343
21	Myo5c	0.02192075464280407
22	H2afx	0.020289371093790597
23	Ppara	0.019872592545898772
24	Mki67	0.019520519046469054
25	Pten	0.01892259283380509
26	Erbb2	0.01824382656702584
27	Uqcrc1	0.018071970395109625
28	Ak1	0.01797431192844153
29	Csf1r	0.017618421104469793
30	Rhoq	0.01731620416774733
31	Ppargc1a	0.017051798874180943
32	Agt	0.01565760517337621
33	Itga4	0.013809131340098904
34	Hk2	0.013754240707454348
35	Cd86	0.013368334075320516
36	C3	0.013145938613029309
37	Igf2	0.013129987761772516
38	Ccnf	0.012966912264292458
39	Csf3	0.012956753588704073
40	Myoz2	0.012900750461590659
41	Aurka	0.01286053071889592
42	Atp5o	0.01261802619259108
43	Hmox1	0.01261064079146544
44	Glb1	0.01256641454921052
45	Cd68	0.012390670995140893
46	C1qa	0.011379567542050752
47	Timp3	0.011304697225436689
48	Rfc4	0.01118461976649924
49	Ccl2	0.011051700341131156
50	Akt2	0.010772104780196398
51	Rab44	0.010762173606210304
52	Lmod2	0.010743740717724012
53	Dvl2	0.010499122922131125
54	Myl3	0.010488037205885465
55	Cyp2e1	0.010485315760227003
56	Gnas	0.01045268226587613
57	Hspg2	0.010369801819438187
58	Sdhb	0.010369626346367209
59	Cs	0.010194944737030769
60	Cbl	0.009976039245529644
61	Gsk3a	0.00985991334374771
62	Cacna1s	0.009748191555979696
63	Cyc1	0.009639158184898772
64	Mrps5	0.009602243574573094
65	Col1a1	0.009503881639722272
66	Pdgfb	0.009489137756545571
67	Hpgds	0.009304805748269949
68	Itsn1	0.009239403545451672
69	Wnt1	0.009177793608479739
70	Obscn	0.009007048637563188
71	Itga1	0.008941430765595094
72	Kbtbd13	0.008618692002233013
73	S1pr5	0.008605525653314234
74	Pdk4	0.008276521380507005
75	Il1b	0.008168880602370343
76	Kng1	0.008075976807118204
77	Kng2	0.008075976807118204
78	Ccne1	0.007702298393843867
79	Bgn	0.00767256407499845
80	Aldh1l1	0.007575435372552695
81	Mmp13	0.007534834606396836
82	Ppif	0.007504559417407364
83	Sqstm1	0.007503084741373215
84	Fgfr2	0.007491037268305857
85	Bid	0.007028452146310212
86	Tfb1m	0.0069183158863070655
87	Pdha1	0.0068674196840408
88	Rhot2	0.006860865079529828
89	Chchd1	0.006803776508570314
90	Psmb5	0.0067561053367058595
91	Epas1	0.006740315278279547
92	Cox10	0.0067307177780237554
93	Adcy3	0.006687195678165788
94	Spp1	0.006604909211979755
95	Ube2c	0.006536121137264985
96	Tuba1a	0.006532654526763187
97	Dag1	0.006500338882983729
98	Sphk1	0.006463360684228821
99	Pgk1	0.006447051100977004
100	Ccnb1	0.006287281287780011
101	Ldhb	0.005990290689720771
102	Cecr2	0.0059561951831997115
103	Reln	0.005872142403368102
104	Cpt1b	0.005859018309928923
105	H2afy2	0.005845404958871513
106	Lgals4	0.005720310859334863
107	Rrm2	0.005706781512593069
108	Actr3b	0.005646470338585564
109	Kif11	0.005605161715694973
110	Polr1d	0.005537206990634443
111	Dlst	0.0055220453216415135
112	Dnajc11	0.005319903278310109
113	Hmmr	0.005235434699036171
114	Tubb4a	0.005133652282863749
115	Lamb3	0.005070165754746629
116	Prelp	0.00499879833158952
117	Pdp2	0.004962789802100857
118	Tysnd1	0.004944681313405888
119	Eif4a2	0.004942673681437681
120	Ucp1	0.0048886366123169454
121	Hspb1	0.004831166159117931
122	Sdc1	0.004777371227938211
123	Myo5b	0.0047597354620669665
124	Lclat1	0.004756508864293055
125	Pf4	0.0046306006229543065
126	Trem2	0.004612660762720712
127	Rfc5	0.004575485712580001
128	Tomm40	0.0045736722601511124
129	Mrpl34	0.004570450890726772
130	Gpd2	0.004538779991609696
131	Acadvl	0.0045297677805624425
132	Adcy8	0.004527914455485965
133	Adcy9	0.004527914455485965
134	Cacna1d	0.004483182722424889
135	Myo1c	0.004472007276544807
136	Timm17a	0.004450437487095571
137	Cyp2b10	0.004444623746036251
138	Cox5a	0.004404507016774302
139	Ect2	0.004381920928033034
140	Suclg1	0.004367460540904749
141	Acss1	0.004362733649683834
142	Cfp	0.0043608841413104995
143	Polr2k	0.004343071490548146
144	Nes	0.004342677370621651
145	Acsl5	0.0043411734169238134
146	Nphs1	0.004324667721237153
147	Apc2	0.004315929175575896
148	Ryr3	0.004315929175575896
149	Abhd10	0.00431329590579214
150	Cbs	0.00431329590579214
151	Maf	0.00431329590579214
152	Abca1	0.00431329590579214
153	Cox5b	0.004299053308913451
154	Gpi1	0.0041533325129234164
155	Tcf7l1	0.00409281458942793
156	Pfkl	0.00400562124288329
157	Rnd1	0.004001943867049003
158	Prkag2	0.003999423663428455
159	Pgam2	0.003988285079571805
160	Gfm1	0.003926886832819618
161	Ndufs7	0.0038869677911438113
162	Dpysl4	0.00385448867077002
163	Chchd3	0.0037997098351025974
164	Ccnb2	0.0037991542194408937
165	Des	0.003759548239072468
166	Myl1	0.0036764589267587224
167	Axin2	0.003669373534219329
168	Pla2g4c	0.0035944326880437165
169	Pla2g4e	0.0035944326880437165
170	Mad2l1	0.0035794116792328932
