Gene	NPscore	log2FC
Gapdh	1.857764	0.357195
Hif3a	1.532604	-0.993163
Pkm	1.252783	0.415905
Hk2	1.006622	0.445724
Ppargc1a	0.682321	0.647468
Prkaca	0.644834	0.305610
Lrrk2	0.563301	-0.270140
Mtor	0.550227	0.438290
Hadha	0.498393	0.465723
Nos2	0.421790	0.686312
Txnrd1	0.416520	0.241997
Pten	0.399421	0.276638
Ccnb1	0.396152	-0.510361
Cs	0.381089	0.422302
Ptpn11	0.377051	0.233939
Ldhb	0.338902	0.501378
Aldh1l1	0.329961	-0.525569
Sod2	0.320386	0.387655
Uqcrc1	0.316239	0.320799
Cyp2e1	0.300637	-1.049073
Pdha1	0.298748	0.365803
Dlst	0.296904	0.344907
Sdhb	0.284029	0.336136
Suclg1	0.264217	0.499958
Adcy3	0.258069	0.511896
Cyc1	0.257977	0.321809
Adcy9	0.246363	0.244065
Adcy8	0.246363	1.719690
Acaa2	0.243251	0.554133
Hadhb	0.237028	0.480545
Atp5o	0.233144	0.288458
Cycs	0.231214	0.509015
Acadvl	0.230843	0.475774
Akt2	0.227776	0.305392
Lig1	0.224329	-0.298973
Acss1	0.221248	0.472807
Sucla2	0.220738	0.413071
P2ry12	0.217893	-0.385151
Hadh	0.209868	0.402793
Uqcrc2	0.209752	0.328261
Uqcrb	0.204130	0.330875
Cpt1b	0.203954	0.687347
Ogdh	0.200483	0.487226
Ndufs7	0.200279	0.326543
Cox5b	0.199678	0.290875
Bckdhb	0.191343	0.547195
Cox5a	0.188424	0.444453
Atp5d	0.185973	0.275816
Cyp2b10	0.183386	-2.024572
Atp5h	0.182356	0.279151
Ndufa6	0.181646	0.243074
Cyp1a1	0.178243	-0.844402
Dlgap5	0.178033	-0.508945
Idh2	0.177595	0.259668
Pdk4	0.176069	0.687079
Ndufv2	0.175295	0.342890
Aco2	0.173914	0.418867
Ndufb10	0.171709	0.337917
Me3	0.169658	1.371000
Ndufa5	0.169385	0.391321
Gnas	0.169144	0.562233
Idh3a	0.168188	0.497072
Ndufb8	0.166555	0.371424
Ndufs8	0.165755	0.347780
Ndufb7	0.165655	0.296859
Ndufa4	0.165455	0.281311
Ndufs6	0.163332	0.319657
Ndufs4	0.162204	0.373357
Cox6b1	0.160949	0.295084
Gpd1	0.159248	0.692418
Me2	0.158808	-0.370861
Gpd2	0.157802	0.688985
Gpx1	0.157410	-0.338938
Ndufa8	0.157059	0.366176
Ndufb6	0.153128	0.393230
Acot3	0.151572	1.029719
Acot2	0.151572	0.655960
Acot1	0.151572	0.825632
P2ry2	0.150829	0.350194
Ndufb4	0.146589	0.336941
Cox6c	0.144922	0.273088
Gpt2	0.144039	-0.440860
Acsf3	0.142093	0.392156
Glud1	0.138810	-0.321253
Atp5j2	0.136972	0.299293
Pdp2	0.136732	0.369637
Prkag2	0.135315	0.374678
Akr1b10	0.135272	0.314678
Brca1	0.134602	-0.428099
Prkab1	0.134582	0.254904
Acsm5	0.133760	-0.640128
Ndufa11	0.132817	0.378756
Ndufb2	0.132074	0.465545
Mrps5	0.130794	0.274664
Cyp2u1	0.129656	0.453513
Nme6	0.128993	0.308694
Nme4	0.128993	-0.478575
Sdhd	0.128001	0.304974
Pptc7	0.122331	0.352179
Ucp3	0.121736	0.482165
Mrpl36	0.119887	0.223945
Gfm1	0.118798	0.384444
Cox7a2	0.118664	0.260100
Ugt1a6a	0.117012	-0.541878
Atp5e	0.115207	0.325379
Mrps16	0.113285	0.228771
Txn2	0.113059	0.266536
Mrpl34	0.112998	0.365611
Ndufaf4	0.112322	0.387886
Ucp1	0.107929	0.840927
Sqstm1	0.106809	-0.306299
Acsl5	0.100820	0.984926
Chchd1	0.100787	0.391831
Gk5	0.099429	0.363683
Mrpl47	0.097745	0.386137
Mrpl14	0.097745	0.217586
Tfb1m	0.097056	0.320219
Prkaa2	0.095306	0.555465
Rhot2	0.091913	0.326943
Bcat2	0.091645	-0.512059
Mrps24	0.090911	0.201310
Mrpl51	0.090713	0.315071
Nrp1	0.089740	0.241002
Cryab	0.087200	0.561260
Nt5m	0.086933	0.253179
Cox8b	0.086867	0.388905
Dhrs13	0.086688	0.484087
Mrpl35	0.085949	0.283256
Gja1	0.084263	0.606164
Atp5g1	0.083019	-0.263597
Gh	0.082107	-1.199934
Rps6ka2	0.081006	0.404019
Mrps36	0.080221	0.566469
Mrps23	0.080221	0.278340
Mrpl55	0.080221	0.261633
Mrpl42	0.080221	0.328100
Rdh13	0.078014	0.273153
Ppif	0.076089	0.341644
Abat	0.075712	-0.609770
Sirt3	0.071576	0.438341
Hmgcs2	0.071490	-0.524554
Vdac2	0.070964	0.263439
Ndufaf5	0.070151	0.291297
Cox7b	0.068733	0.295622
Cox7a1	0.064316	0.888889
Tatdn3	0.063723	0.277068
Map2k3	0.054601	0.247353
Fdx1	0.052068	0.306834
Ddo	0.051701	0.489159
Tomm40	0.051202	0.210660
Timm17a	0.048839	0.375487
Cidea	0.047696	0.730934
Cox10	0.046569	0.292729
Phb	0.046426	0.359523
Glyctk	0.045085	0.345311
Fahd1	0.044058	0.565906
Prodh	0.043692	-0.685720
Bid	0.042854	-0.235805
Ank2	0.041209	0.381639
Dnaja3	0.039385	0.410689
Mrpl45	0.039342	0.221425
Abcc8	0.037896	0.792642
Maff	0.036618	0.374462
Atp6v1g2	0.035569	-0.372353
Creb3l1	0.032895	0.354856
Fkbp4	0.032118	0.361296
Pla2g15	0.031441	-0.230736
Phb2	0.031351	0.250657
Samm50	0.030470	0.318428
Dnajc11	0.029356	0.302786
Kcnj11	0.029171	1.304823
Slc25a31	0.028513	2.149483
Prdm16	0.028417	0.463855
Tysnd1	0.028404	0.303491
Rmdn1	0.028136	0.452079
Slc25a20	0.027850	0.419761
Snca	0.026834	-0.719322
